root               , notes                                                                , omega_b , omega_cdm , h      , A_s       , n_s    , alpha_s , N_ur   , N_ncdm , omega_ncdm , w0_fld , wa_fld , sigma8_m , sigma8_cb,Omega_m
abacus_cosm126     ,Baseline -0.5% sigma8                                               ,0.02237,0.12,0.6736,2.06E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.803908,0.807294,0.1430142
abacus_cosm130     ,Emulator grid around baseline cosmology                             ,0.02237,0.12,0.6736,1.61E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.711201,0.714197,0.1430142
abacus_cosm131     ,Emulator grid around baseline cosmology                             ,0.02237,0.1086,0.7165,2.31E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.807866,0.811587,0.1316142
abacus_cosm132     ,Emulator grid around baseline cosmology                             ,0.02237,0.12,0.6736,2.18E-09,0.9049,0,2.0328,1,0.0006442,-1,0,0.808189,0.811584,0.1430142
abacus_cosm133     ,Emulator grid around baseline cosmology                             ,0.02237,0.12,0.6736,2.61E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.905163,0.908976,0.1430142
abacus_cosm134     ,Emulator grid around baseline cosmology                             ,0.02237,0.1326,0.6319,1.91E-09,0.9649,0,2.0328,1,0.0006442,-1,0,0.808458,0.811566,0.1556142
abacus_cosm135     ,Emulator grid around baseline cosmology                             ,0.02237,0.12,0.6736,1.99E-09,1.0249,0,2.0328,1,0.0006442,-1,0,0.80816,0.811573,0.1430142
abacus_cosm136     ,Emulator grid around baseline cosmology                             ,0.02073,0.1192,0.6618,2.52E-09,0.9303,0,2.0328,1,0.0006442,-1,0,0.882475,0.886249,0.1405742
abacus_cosm137     ,Emulator grid around baseline cosmology                             ,0.02212,0.1271,0.6472,1.65E-09,0.9252,0,2.0328,1,0.0006442,-1,0,0.729693,0.732609,0.1498642
abacus_cosm138     ,Emulator grid around baseline cosmology                             ,0.02108,0.1138,0.6847,2.23E-09,0.9723,0,2.0328,1,0.0006442,-1,0,0.821432,0.825095,0.1355242
abacus_cosm139     ,Emulator grid around baseline cosmology                             ,0.02416,0.1128,0.7164,2.17E-09,0.9732,0,2.0328,1,0.0006442,-1,0,0.793003,0.796493,0.1376042
abacus_cosm140     ,Emulator grid around baseline cosmology                             ,0.02096,0.1221,0.6536,1.81E-09,0.9893,0,2.0328,1,0.0006442,-1,0,0.772033,0.775267,0.1437042
abacus_cosm141     ,Emulator grid around baseline cosmology                             ,0.02381,0.1272,0.6623,1.99E-09,0.9384,0,2.0328,1,0.0006442,-1,0,0.799575,0.802737,0.1516542
abacus_cosm142     ,Emulator grid around baseline cosmology                             ,0.02287,0.113,0.7038,1.67E-09,0.9927,0,2.0328,1,0.0006442,-1,0,0.707082,0.710219,0.1365142
abacus_cosm143     ,Emulator grid around baseline cosmology                             ,0.02206,0.1278,0.6443,2.11E-09,0.9952,0,2.0328,1,0.0006442,-1,0,0.847522,0.850903,0.1505042
abacus_cosm144     ,Emulator grid around baseline cosmology                             ,0.0221,0.113,0.6968,2.77E-09,0.9279,0,2.0328,1,0.0006442,-1,0,0.89136,0.895324,0.1357442
abacus_cosm145     ,Emulator grid around baseline cosmology                             ,0.02428,0.1186,0.6961,2.16E-09,0.9347,0,2.0328,1,0.0006442,-1,0,0.801404,0.804769,0.1435242
abacus_cosm146     ,Emulator grid around baseline cosmology                             ,0.02097,0.118,0.6682,1.90E-09,0.9351,0,2.0328,1,0.0006442,-1,0,0.762696,0.765984,0.1396142
abacus_cosm147     ,Emulator grid around baseline cosmology                             ,0.02113,0.1215,0.6498,1.91E-09,0.9587,0,2.0328,1,0.0006442,-0.809,-0.628,0.777157,0.780416,0.1432742
abacus_cosm148     ,Emulator grid around baseline cosmology                             ,0.02289,0.1201,0.6199,1.96E-09,0.938,0,2.0328,1,0.0006442,-0.925,0.393,0.714913,0.717888,0.1436342
abacus_cosm149     ,Emulator grid around baseline cosmology                             ,0.02188,0.12,0.6688,2.15E-09,0.9913,0,2.0328,1,0.0006442,-1.174,0.613,0.824854,0.828343,0.1425242
abacus_cosm150     ,Emulator grid around baseline cosmology                             ,0.02248,0.1216,0.7224,2.51E-09,0.9355,0,2.0328,1,0.0006442,-1.09,-0.373,0.937655,0.94157,0.1447242
abacus_cosm151     ,Emulator grid around baseline cosmology                             ,0.02315,0.1254,0.6582,2.27E-09,0.9757,0,2.0328,1,0.0006442,-0.826,-0.615,0.86082,0.864288,0.1491942
abacus_cosm152     ,Emulator grid around baseline cosmology                             ,0.02165,0.1148,0.6204,1.80E-09,0.9541,0,2.0328,1,0.0006442,-0.732,-0.187,0.677885,0.680849,0.1370942
abacus_cosm153     ,Emulator grid around baseline cosmology                             ,0.02192,0.1199,0.6092,2.29E-09,0.9917,0,2.0328,1,0.0006442,-0.735,-0.172,0.794389,0.797729,0.1424642
abacus_cosm154     ,Emulator grid around baseline cosmology                             ,0.02158,0.1148,0.7426,2.07E-09,0.9538,0,2.0328,1,0.0006442,-1.076,-0.395,0.838698,0.842413,0.1370242
abacus_cosm155     ,Emulator grid around baseline cosmology                             ,0.02369,0.1184,0.6247,2.07E-09,0.9713,0,2.0328,1,0.0006442,-0.727,-0.184,0.735302,0.738388,0.1427342
abacus_cosm156     ,Emulator grid around baseline cosmology                             ,0.02202,0.1261,0.6499,1.97E-09,0.9678,0,2.0328,1,0.0006442,-1.176,0.621,0.801974,0.80521,0.1487642
abacus_cosm157     ,Emulator grid around baseline cosmology                             ,0.02247,0.1214,0.6668,2.51E-09,0.9356,0,2.0328,1,0.0006442,-1.167,0.616,0.872315,0.875941,0.1445142
abacus_cosm158     ,Emulator grid around baseline cosmology                             ,0.02201,0.1262,0.6958,1.86E-09,0.9667,0,2.0328,1,0.0006442,-1.082,-0.392,0.829816,0.833179,0.1488542
abacus_cosm159     ,Emulator grid around baseline cosmology                             ,0.02206,0.1261,0.5967,1.80E-09,0.9673,0,2.0328,1,0.0006442,-0.726,-0.22,0.718521,0.721402,0.1488042
abacus_cosm160     ,Emulator grid around baseline cosmology                             ,0.02223,0.1185,0.7456,2.10E-09,0.9942,0,2.0328,1,0.0006442,-1.271,0.217,0.876756,0.880523,0.1413742
abacus_cosm161     ,Emulator grid around baseline cosmology                             ,0.02282,0.1274,0.733,1.97E-09,0.9649,0.026,2.7283,1,0.0006442,-1,0,0.793066,0.796247,0.1508642
abacus_cosm162     ,Emulator grid around baseline cosmology                             ,0.02136,0.1048,0.6383,2.16E-09,0.9297,-0.026,1.3521,1,0.0006442,-1,0,0.779589,0.783285,0.1268042
abacus_cosm163     ,Emulator grid around baseline cosmology                             ,0.02135,0.129,0.728,2.17E-09,0.9922,-0.018,2.8575,1,0.0006442,-1,0,0.838824,0.842187,0.1509942
abacus_cosm164     ,Emulator grid around baseline cosmology                             ,0.02173,0.1091,0.6042,2.00E-09,0.9211,0.016,1.1769,1,0.0006442,-1,0,0.774159,0.777681,0.1314742
abacus_cosm165     ,Emulator grid around baseline cosmology                             ,0.02225,0.1278,0.7293,2.07E-09,1.0241,0.026,2.7558,1,0.0006442,-1,0,0.835954,0.839319,0.1506942
abacus_cosm166     ,Emulator grid around baseline cosmology                             ,0.02306,0.1151,0.6826,2.28E-09,0.9691,0.038,1.9089,1,0.0006442,-1,0,0.837463,0.841106,0.1388042
abacus_cosm167     ,Emulator grid around baseline cosmology                             ,0.02248,0.14,0.705,1.73E-09,0.9715,-0.017,2.8889,1,0.0006442,-1,0,0.768419,0.771255,0.1631242
abacus_cosm168     ,Emulator grid around baseline cosmology                             ,0.02157,0.1084,0.607,2.54E-09,0.9275,0.016,1.1911,1,0.0006442,-1,0,0.871407,0.875401,0.1306142
