filename,hod,GAL_TYPE,Q_PAR,Q_PERP,LOGM_CUT,LOGM1,SIGMA,ALPHA,KAPPA,ALPHA_C,ALPHA_S,S,S_V,S_P,S_R,ACENT,ASAT,BCENT,BSAT,IC
hod045.fits,hod045,LRG,1.0,1.0,12.670028130403967,14.10186166045858,3.36364269783702,0.43977111420436094,0.8636349982007032,0.05830716570175915,1.3481183275882858,-0.5960597849758162,0,0,0,-0.4943473023393176,0.6152513244194535,-0.09960598314432756,-0.9530293531902867,1
hod047.fits,hod047,LRG,1.0,1.0,12.805728210211399,13.93906494695117,0.20736256931690683,1.1524785143199154,0.42315207057698917,0.17251080888264492,0.972170520046002,0.605646479318309,0,0,0,-0.8408060653921648,0.3279846274482108,-0.1752297125349968,0.17359130608693496,1
hod048.fits,hod048,LRG,1.0,1.0,12.578541085373073,14.407201193140892,0.008705554008058117,0.534851381028612,0.9641560617121105,0.15211245839264986,1.0705436446845853,-0.09597749133963274,0,0,0,-0.300718412883313,0.42050738335519267,-0.6126076443072672,-0.329890241570458,1
hod049.fits,hod049,LRG,1.0,1.0,12.981569700763885,13.930449627653022,6.450403245598652,0.6884153111535265,0.957524955402783,0.17783574928913148,0.6790625334384477,-0.5410395048377108,0,0,0,0.04734330175745871,-0.4616726753954614,-0.47545914171174364,-0.5206429590111092,1
hod050.fits,hod050,LRG,1.0,1.0,12.794558269929516,14.238928578511551,2.0385450741266387,1.2483810957878287,0.5233440642088869,0.4802421297684585,0.8826945121069117,0.19261314073939073,0,0,0,-0.19707326233925748,-0.7158488017739906,-0.352733212003081,0.5235659795927741,1
hod051.fits,hod051,LRG,1.0,1.0,12.5678723622186,13.778500231328778,3.500520416514394,0.9763791417087302,0.44452237516297444,0.049121186393545985,1.1226591727850486,0.6919111892501864,0,0,0,-0.9357173249880486,0.8839902060051639,-0.2980052741994746,-0.4602327134797414,1
hod053.fits,hod053,LRG,1.0,1.0,12.585971896332456,14.651264301127055,0.002340032762924147,1.184765587612733,0.5064568796284621,0.03521041468328815,1.4797074544302404,0.7381997562040212,0,0,0,0.3668904595627511,-0.20811716250609247,-0.05912953915108687,-0.3520416867351055,1
hod055.fits,hod055,LRG,1.0,1.0,12.939580702099391,13.946201701636568,0.00142693631276059,0.7282681992232234,0.4203605149233084,0.5911039224011995,1.0510541523723855,-0.8173627751187273,0,0,0,-0.29974649015149457,-0.7540681588390226,0.000803609654881132,-0.7118204674898205,1
hod057.fits,hod057,LRG,1.0,1.0,13.13499638551682,14.112994850613063,7.0226317381924765,0.9756212813305805,0.5962398555650964,0.23521880077451465,0.7030476106780364,-0.8132225605366157,0,0,0,0.061617886135356015,-0.3990265068546104,-0.4819487088638855,-0.01149197902428356,1
hod060.fits,hod060,LRG,1.0,1.0,12.745741847215228,14.125518505412607,0.00201664328319482,0.6070246746606365,0.9078586802734271,0.23866834941753087,1.2098360607938354,0.9896631024974085,0,0,0,-0.9847671382625743,-0.7645303217560251,-0.6449815193585566,0.22481500117454156,1
hod061.fits,hod061,LRG,1.0,1.0,12.716826660795581,14.42430423243433,0.6747029501605921,1.0790277613612378,0.2622984504966389,0.4466279573634304,1.4480090134554278,0.04602775112926527,0,0,0,0.18477116811441263,0.9709177585925799,-0.22174000605170452,0.42838157583197467,1
hod062.fits,hod062,LRG,1.0,1.0,12.97500190199173,14.245577657469902,0.008602067433880032,0.31373011034116227,0.8074461722467384,0.576719368657392,0.8946483308282549,0.6805404146892686,0,0,0,0.19004654432922186,0.31729040273198894,-0.4019241443477116,-0.589372473756359,1
hod063.fits,hod063,LRG,1.0,1.0,12.673144031171095,14.445341044230736,0.008881341743367289,1.442553162918658,0.6986557555753882,0.2541677822305295,0.7585506688964179,0.9986310635336417,0,0,0,-0.6389648414053157,-0.6656201851956365,0.07585806159881914,0.10368738684314716,1
hod064.fits,hod064,LRG,1.0,1.0,12.879834672446389,14.6208456977607,2.507087290474326,1.071359283297805,0.46003725706571064,0.04234101844446815,1.0865514568533245,-0.12798329671529496,0,0,0,-0.17621988708645941,0.779956745130278,-0.3404246245552768,0.9795560323657808,1
hod066.fits,hod066,LRG,1.0,1.0,12.943720188372387,14.406653828374104,8.65932064788008,1.1822583115518661,0.18141731156193658,0.15473159052467875,0.8847069008317803,0.25588217979353334,0,0,0,-0.3719853807434199,-0.4009463430634226,-0.1504437431692769,0.8763279609212589,1
hod067.fits,hod067,LRG,1.0,1.0,12.7967464876839,14.332477844220078,0.009980024851380049,0.39374895926154996,0.9217344778022543,0.4070164501756968,0.8716731635307968,-0.5736053282800775,0,0,0,-0.9238558672239731,0.24854830722331744,0.15567239588321313,-0.5818199871231151,1
hod070.fits,hod070,LRG,1.0,1.0,12.635539850361464,14.904688059571654,0.003275393259239697,0.6596591860551217,0.5776739686875654,0.5160728730958278,0.7278168054341156,0.5793948848843553,0,0,0,-0.5092732679838022,-0.3678992309925908,-0.45906135244332785,0.38174928897693894,1
hod071.fits,hod071,LRG,1.0,1.0,13.046349692205673,14.293211311258837,1.7769005434151526,1.0204198563495195,0.06920363840044483,0.12957694196902375,0.8552260506204752,-0.45614183698583954,0,0,0,0.4030993590449181,0.18430537728046703,0.046551288246868716,0.4930504292971547,1
hod072.fits,hod072,LRG,1.0,1.0,13.148598744618837,13.968656440400636,4.557212814245298,0.36192878245025734,0.2496275113614761,0.34603345317606077,1.1152461332366777,-0.4720116581738727,0,0,0,-0.48319640111296713,-0.33446754289360714,0.098325541980957,-0.9517501963933344,1
hod073.fits,hod073,LRG,1.0,1.0,12.600255264441342,14.330975213012671,0.025460472243126423,0.5582951443253897,0.7021831495142216,0.48149982917398926,1.407272488029537,-0.8287768592770812,0,0,0,-0.9016261774498704,-0.37380754411965766,-0.43599952873074854,0.10629223026961676,1
hod074.fits,hod074,LRG,1.0,1.0,13.502430045541992,14.674049731568898,1.3028190211281594,0.9846837321989761,0.549388188392221,0.12477489656051885,1.0248921431084765,0.6008145554861721,0,0,0,0.8445930602235479,0.2969759582379672,-0.12214521616537333,-0.16174543144110676,1
hod075.fits,hod075,LRG,1.0,1.0,12.519902379000305,14.947881108402402,0.007915379023811356,1.250826518402184,0.6131074026097584,0.5414320196328753,1.0128096908903346,0.4524486082969341,0,0,0,0.44154715322322136,-0.20994589547899145,-0.37761705379090765,-0.2097331835316264,1
hod076.fits,hod076,LRG,1.0,1.0,12.606633180297758,13.863955231470875,0.012290659764767817,0.9770373546102333,0.477377288960809,0.06147495945943085,0.876830129354609,-0.7313625473854304,0,0,0,0.34464773802453674,0.04896308406084393,-0.23343066577875793,-0.4556674303422851,1
hod079.fits,hod079,LRG,1.0,1.0,12.549513505098322,14.786149910167813,0.22007592271780319,1.2807422688044343,0.48672117651463465,0.2911642163502166,1.4869338458270016,-0.7430511821788064,0,0,0,0.8214090747127039,0.3107296467695744,-0.6465142682888649,-0.13032678301505707,1
hod080.fits,hod080,LRG,1.0,1.0,12.827797561183838,14.222433481553729,0.3579598320826146,1.2443289171665362,0.010088572727813126,0.009757059612366522,1.4523628258297234,-0.11444623882217864,0,0,0,-0.3234634447977992,-0.898484154345067,0.005213497293926728,0.9456446109302563,1
hod081.fits,hod081,LRG,1.0,1.0,13.10525457256027,14.099066247273885,1.1316165734956252,1.0262946240752995,0.1082518963600933,0.24529685724740402,0.6352321598365687,0.5935616926688965,0,0,0,0.15234261880514843,-0.13237636615737414,0.17020474795269525,0.4179648123177784,1
hod082.fits,hod082,LRG,1.0,1.0,12.537150165474534,14.938106190012125,0.08681874731189179,0.9680800087410615,0.26654421020359953,0.3702102538121139,1.4111246333504206,-0.6020526666039778,0,0,0,-0.6287672377993702,0.10781576090777856,0.15644846308515004,0.2906634154037828,1
hod083.fits,hod083,LRG,1.0,1.0,13.433628331836209,13.75434996536841,0.7855236444564452,1.4235690854226457,0.14819248557524528,0.10850400460154663,1.1601147258264795,-0.4995758160688611,0,0,0,0.24823426016998984,-0.07744785854783143,0.11134767988368377,-0.6217534554672943,1
hod085.fits,hod085,LRG,1.0,1.0,12.602313290147723,15.065803755720715,0.02439418559034997,0.9674253293170232,0.606566466042384,0.48646095487028507,0.955866877426043,0.6942609465573268,0,0,0,-0.7620717794056836,-0.3140880628040824,-0.41088408782469155,0.6208590922623136,1
hod087.fits,hod087,LRG,1.0,1.0,12.508435762802655,13.659095101797359,0.19614565246593402,0.8845628178132139,0.39527867975902614,0.4063316952496989,0.7651152225726545,0.9553880386164915,0,0,0,0.3784363170715084,0.26027722691007527,-0.4616374666306694,-0.838458024836328,1
hod091.fits,hod091,LRG,1.0,1.0,13.341088528158366,15.097161132873854,2.866677610732999,1.4681715622078189,0.029994833319572933,0.1393739220582978,1.2550301688137342,-0.00178432045048959,0,0,0,-0.23275214413502987,0.2832932774006294,-0.05001013834427037,0.933986352192222,1
hod092.fits,hod092,LRG,1.0,1.0,12.921342340051158,14.204668384961481,0.09594733792943236,0.951142997261436,0.15175711376580137,0.4698879251959782,0.8084722989313985,0.04474062855341554,0,0,0,-0.9820630976356987,0.9724413419843518,-0.07605953314396618,-0.7722177649564772,1
hod094.fits,hod094,LRG,1.0,1.0,13.068876167759182,14.973745119369916,2.124271501673098,1.0467097057790489,0.46162615752903907,0.5157505601558763,0.8653762123568882,0.8156952971375249,0,0,0,-0.8642296552106081,-0.7574284955384963,-0.2499209473466446,-0.262570776382852,1
hod095.fits,hod095,LRG,1.0,1.0,12.53385975994766,13.74478318804188,6.884503598238807,0.9395857094767182,0.16470217500661938,0.6062038385713383,1.128486585730905,0.8954401324892101,0,0,0,-0.4834558321429707,0.21038213937960926,-0.16795905200565586,-0.02516002974808129,1
hod096.fits,hod096,LRG,1.0,1.0,12.736782846857205,13.695352697117169,0.024317667351221702,0.3279652032819338,0.4244619772096962,0.4794904968356606,1.438863129518397,0.6743538624471503,0,0,0,0.7119065311036743,0.9361869548478707,-0.2826135612076615,-0.03908169281663209,1
hod097.fits,hod097,LRG,1.0,1.0,12.681018237635183,13.892412087985395,0.008251482569096158,0.625909640487158,0.25658008992119496,0.4755859341879277,1.3443691102181867,-0.35623540839161094,0,0,0,-0.7879057430776191,0.6735249534217114,0.12870781364614192,0.18479769478663632,1
